# observed_wavelength flux_16 flux_50 flux_84
# AA 1e-19erg/s/cm2/AA 1e-19erg/s/cm2/AA 1e-19erg/s/cm2/AA
# Morishita & Stiavelli (2022), 2207.11671
883.8 0.00000 0.00000 0.00000
927.2 0.00000 0.00000 0.00000
970.5 0.00000 0.00000 0.00000
1013.8 0.00000 0.00000 0.00000
1057.1 0.00000 0.00000 0.00000
1100.5 0.00000 0.00000 0.00000
1143.8 0.00000 0.00000 0.00000
1187.1 0.00000 0.00000 0.00000
1230.4 0.00000 0.00000 0.00000
1273.8 0.00000 0.00000 0.00000
1317.1 0.00000 0.00000 0.00000
1360.4 0.00000 0.00000 0.00000
1403.7 0.00000 0.00000 0.00000
1447.1 0.00000 0.00000 0.00000
1490.4 0.00000 0.00000 0.00000
1533.7 0.00000 0.00000 0.00000
1577.0 0.00000 0.00000 0.00000
1620.4 0.00000 0.00000 0.00000
1663.7 0.00000 0.00000 0.00000
1707.0 0.00000 0.00000 0.00000
1750.3 0.00000 0.00000 0.00000
1793.7 0.00000 0.00000 0.00000
1837.0 0.00000 0.00000 0.00000
1880.3 0.00000 0.00000 0.00000
1923.6 0.00000 0.00000 0.00000
1967.0 0.00000 0.00000 0.00000
2010.3 0.00000 0.00000 0.00000
2053.6 0.00000 0.00000 0.00000
2096.9 0.00000 0.00000 0.00000
2140.3 0.00000 0.00000 0.00000
2183.6 0.00000 0.00000 0.00000
2226.9 0.00000 0.00000 0.00000
2270.2 0.00000 0.00000 0.00000
2313.6 0.00000 0.00000 0.00000
2356.9 0.00000 0.00000 0.00000
2400.2 0.00000 0.00000 0.00000
2443.5 0.00000 0.00000 0.00000
2486.9 0.00000 0.00000 0.00000
2530.2 0.00000 0.00000 0.00000
2573.5 0.00000 0.00000 0.00000
2616.8 0.00000 0.00000 0.00000
2660.2 0.00000 0.00000 0.00000
2703.5 0.00000 0.00000 0.00000
2746.8 0.00000 0.00000 0.00000
2790.1 0.00000 0.00000 0.00000
2833.5 0.00000 0.00000 0.00000
2876.8 0.00000 0.00000 0.00000
2920.1 0.00000 0.00000 0.00000
2963.4 0.00000 0.00000 0.00000
3006.8 0.00000 0.00000 0.00000
3050.1 0.00000 0.00000 0.00000
3093.4 0.00000 0.00000 0.00000
3136.7 0.00000 0.00000 0.00000
3180.1 0.00000 0.00000 0.00000
3223.4 0.00000 0.00000 0.00000
3266.7 0.00000 0.00000 0.00000
3310.0 0.00000 0.00000 0.00000
3353.4 0.00000 0.00000 0.00000
3396.7 0.00000 0.00000 0.00000
3440.0 0.00000 0.00000 0.00000
3483.3 0.00000 0.00000 0.00000
3526.7 0.00000 0.00000 0.00000
3570.0 0.00000 0.00000 0.00000
3613.3 0.00000 0.00000 0.00000
3656.6 0.00000 0.00000 0.00000
3700.0 0.00000 0.00000 0.00000
3743.3 0.00000 0.00000 0.00000
3786.6 0.00000 0.00000 0.00000
3829.9 0.00000 0.00000 0.00000
3873.3 0.00000 0.00000 0.00000
3916.6 0.00000 0.00000 0.00000
3959.9 0.00000 0.00000 0.00000
4003.2 0.00000 0.00000 0.00000
4046.6 0.00000 0.00000 0.00000
4089.9 0.00000 0.00000 0.00000
4133.2 0.00000 0.00000 0.00000
4176.5 0.00000 0.00000 0.00000
4219.9 0.00000 0.00000 0.00000
4263.2 0.00000 0.00000 0.00000
4306.5 0.00000 0.00000 0.00000
4349.8 0.00000 0.00000 0.00000
4393.2 0.00000 0.00000 0.00000
4436.5 0.00000 0.00000 0.00000
4479.8 0.00000 0.00000 0.00000
4523.1 0.00000 0.00000 0.00000
4566.5 0.00000 0.00000 0.00000
4609.8 0.00000 0.00000 0.00000
4653.1 0.00000 0.00000 0.00000
